Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
Пленка для ламинирования глянцевая 80х111мм 100 штук 100 мкм,https://www.ozon.ru/product/158009252,Самсон,Brauberg,Электроника,Пленка для ламинирования,,25080,104,60,418,388,86.4,0,13 из 28,33 ч,583,2,2,FBO,0.2,9362,4525,362,0.64,1.1,10.49,3.3,78.1,19 из 28,0 из 28,0,2019-09-03
Пленка для ламинирования глянцевая А4 100 штук 150 мкм,https://www.ozon.ru/product/158009271,Самсон,Brauberg,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,80506,32,43,1872,1759,100,0,9 из 28,30 ч,2190,2,8,FBO,2.3,8573,4622,292,0.5,0.23,9.93,9.1,32.8,7 из 28,0 из 28,0.5,2019-09-03
Пленка для ламинирования глянцевая А4 100 штук 200 мкм,https://www.ozon.ru/product/158009272,Самсон,Brauberg,Электроника,Пленка для ламинирования,,18186,-58,6,3031,2821,100,0,23 из 28,49 ч,710,0,4,FBO,3,4392,2888,120,0.14,0.17,7.5,2.4,15.5,12 из 28,0 из 28,0.6,2019-09-03
Пленка для ламинирования глянцевая А4 100 штук 60 мкм,https://www.ozon.ru/product/158009273,Самсон,Brauberg,Электроника,Пленка для ламинирования,Super,29513,-42,34,868,794,93.3,0,10 из 28,31 ч,717,1,3,FBO,1.1,11496,7398,233,0.3,0.28,9.44,2.1,14,5 из 28,0 из 28,1.5,2019-09-03
Пленка для ламинирования глянцевая А4 100 штук 80 мкм,https://www.ozon.ru/product/158009276,Самсон,Brauberg,Электроника,Пленка для ламинирования,Super,36164,-53,35,1033,1006,93.7,0,11 из 28,31 ч,992,1,19,FBO,1.6,12028,7367,306,0.29,0.33,12.09,0,0,0 из 28,0 из 28,1.7,2019-09-03
Пленка для ламинирования глянцевая А5 100 штук 60 мкм,https://www.ozon.ru/product/158009277,Самсон,Brauberg,Электроника,Пленка для ламинирования,,1994,33,3,665,651,100,0,14 из 28,44 ч,52,0,4,FBO,0.5,2028,715,248,0.15,0.41,2.01,5.9,65.3,14 из 28,0 из 28,0,2019-09-03
Пленка для ламинирования глянцевая А6 100 штук 60 мкм,https://www.ozon.ru/product/158009278,Самсон,Brauberg,Электроника,Пленка для ламинирования,,6794,-73,14,485,428,100,0,24 из 28,65 ч,338,1,4,FBO,0.2,3167,980,421,0.44,0.51,4.75,0,0,0 из 28,0 из 28,0,2019-09-03
Пленка для ламинирования глянцевая А6 100 штук 100 мкм,https://www.ozon.ru/product/158009279,Самсон,Brauberg,Электроника,Пленка для ламинирования,Super,123249,-39,199,619,497,58.8,0,20 из 28,44 ч,2948,7,0,FBO,0.4,32803,17204,1432,0.61,1.41,10.47,2.5,3.2,5 из 28,0 из 28,5.2,2019-09-03
Пленка для ламинирования глянцевая А5 100 штук 150 мкм,https://www.ozon.ru/product/158009280,Самсон,Brauberg,Электроника,Пленка для ламинирования,,9162,-9,9,1018,987,88.8,0,23 из 28,38 ч,249,0,12,FBO,1.1,1890,569,324,0.48,0.87,4.01,0,0,0 из 28,0 из 28,0,2019-09-03
Пленка для ламинирования глянцевая Антистатик А4 75 мкм,https://www.ozon.ru/product/158009287,Самсон,Brauberg,Электроника,Пленка для ламинирования,,3357,-48,3,1119,1119,100,0,10 из 28,34 ч,86,0,7,FBO,1.2,4525,2989,81,0.07,0.06,11.11,0,0,9 из 28,0 из 28,5.9,2019-09-03
Пленка для ламинирования глянцевая 100х146 мм 80 мкм,https://www.ozon.ru/product/158009289,Самсон,Brauberg,Электроника,Пленка для ламинирования,,5052,62,12,421,414,83.3,0,22 из 28,41 ч,116,0,1,FBO,0.3,2366,1101,81,0.51,0.63,7.4,4.9,74.1,11 из 28,0 из 28,0,2019-09-03
Пленка для ламинирования Антистатик глянцевая А3 75 мкм,https://www.ozon.ru/product/158009290,Самсон,Brauberg,Электроника,Пленка для ламинирования,,4583,-45,2,2292,2193,100,0,0 из 28,28 ч,126,0,1,FBO,2,1293,607,36,0.16,0,5.55,8.2,47.9,17 из 28,0 из 28,0,2019-09-03
Пленка для ламинирования глянцевая Антистатик А4 100 мкм,https://www.ozon.ru/product/158009291,Самсон,Brauberg,Электроника,Пленка для ламинирования,Super,24467,-9,20,1223,1101,88.8,0,12 из 28,36 ч,615,1,17,FBO,1.4,7375,3995,141,0.27,0.27,6.38,6.4,10.7,13 из 28,0 из 28,1.4,2019-09-03
Пленка для ламинирования глянцевая Антистатик А4 125 мкм,https://www.ozon.ru/product/158009293,Самсон,Brauberg,Электроника,Пленка для ламинирования,Super,24701,-50,16,1544,1507,100,0,16 из 28,36 ч,956,1,13,FBO,1.7,6244,4261,121,0.26,0.18,6.61,3.7,93.2,13 из 28,0 из 28,1.3,2019-09-03
"Пленки для ламинирования/ламинации документов, сертификатов, грамот формата А4, антистатический эффект, комплект 100 шт, 175 мкм, Brauberg",https://www.ozon.ru/product/158009294,Самсон,Brauberg,Электроника,Пленка для ламинирования,,19284,44,8,2411,2239,100,0,16 из 28,37 ч,359,0,3,FBO,2.6,3418,2301,83,0.23,0.21,12.04,7,47.1,10 из 28,0 из 28,1.1,2019-09-03
Плёнка для ручного ламинирования рулон 400 мм х 3 м 75 мкм,https://www.ozon.ru/product/158009295,Самсон,Brauberg,Электроника,Пленка для ламинирования,Super,36507,40,37,987,950,81,0,23 из 28,54 ч,837,1,5,FBO,1,7861,3347,310,0.47,0.35,12.25,5.9,36.4,12 из 28,0 из 28,3.2,2019-09-03
Пленка для ламинирования матовая А4 100 штук 100 мкм,https://www.ozon.ru/product/159123166,Самсон,Brauberg,Электроника,Пленка для ламинирования,,5612,-88,2,2806,2722,100,0,14 из 28,52 ч,134,0,7,FBO,1.3,1245,473,35,0.16,0.21,14.28,5.8,48.5,14 из 28,0 из 28,0,2019-09-12
"Пленка для ламинирования А4 ГЕЛЕОС, (216х303 мм), 80 мкм, 100 шт",https://www.ozon.ru/product/160264672,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,446730,-35,603,741,681,96.9,0,11 из 28,31 ч,11062,22,41,FBO,2.3,77818,30387,2474,0.78,0.98,16.77,9.2,12.2,5 из 28,0 из 28,4.7,2019-09-24
"Пленка для ламинирования а4, ГЕЛЕОС, 100 мкм, 100 листов, 216х303мм",https://www.ozon.ru/product/160264676,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Топ-50% по продажам,1126693,7,1326,850,781,94.9,0,17 из 28,36 ч,27368,48,332,FBO,1.8,129533,59904,4976,1.02,1.58,18.2,9.2,12,6 из 28,0 из 28,10.4,2019-09-24
"Пленка для ламинирования а4, ГЕЛЕОС 125 мкм, глянцевая 100 шт",https://www.ozon.ru/product/160264718,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,213472,-31,214,998,918,97.9,0,14 из 28,34 ч,5657,8,124,FBO,1.9,28785,11769,1213,0.74,0.82,15.33,9.1,12.5,4 из 28,0 из 28,2.4,2019-09-24
"Пленка для ламинирования а4 ГЕЛЕОС, (216х303 мм), 150 мкм, 100 шт",https://www.ozon.ru/product/160265130,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,60230,7,49,1229,1140,95.7,0,9 из 28,34 ч,1521,2,18,FBO,1.6,6726,1405,575,0.73,1.06,10.08,9.2,20.8,5 из 28,0 из 28,0,2019-09-24
"Пленка для ламинирования А4 ГЕЛЕОС, (216х303 мм), 175 мик, 100 шт",https://www.ozon.ru/product/160265137,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,25506,244,18,1417,1403,100,0,16 из 28,45 ч,701,1,0,FBO,2.5,3144,970,373,0.57,0.92,4.55,8.2,88,18 из 28,0 из 28,0,2019-09-24
"Пленка для ламинирования А4 ГЕЛЕОС, (216х303 мм), 200 мкм, 100 шт.",https://www.ozon.ru/product/160265141,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,78923,3,47,1679,1544,100,0,19 из 28,38 ч,2164,2,0,FBO,2.8,5333,1534,446,0.88,1.3,7.62,9.1,11.7,4 из 28,0 из 28,0,2019-09-24
"Пленка для ламинирования А4 ГЕЛЕОС, (216х303 мм), 250 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/160265148,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Лидер по продажам,57878,-5,28,2067,1936,89.4,0,18 из 28,53 ч,1384,1,15,FBO,3.7,4969,1171,416,0.56,1.7,9.13,5.1,55.8,18 из 28,0 из 28,0,2019-09-24
"Пленка для ламинирования а3, ГЕЛЕОС, 80 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/160265156,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,83429,0,65,1284,1181,91.9,0,17 из 28,60 ч,2041,2,14,FBO,2.7,6824,1828,309,0.95,1.53,11.97,9.2,12.7,4 из 28,0 из 28,0,2019-09-24
"Пленка для ламинирования а3, ГЕЛЕОС, 60 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/160265165,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,102408,3,100,1024,954,80.6,0,19 из 28,43 ч,2567,3,31,FBO,2.4,49288,10745,852,0.2,0.94,10.56,9.1,25.2,6 из 28,28 из 28,7,2019-09-24
"Пленка для ламинирования а3, ГЕЛЕОС, 100 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/160291771,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,135270,50,85,1591,1454,97.5,0,17 из 28,36 ч,2152,2,7,FBO,3.7,6113,1746,319,1.39,1.54,15.98,9.1,5.4,4 из 28,0 из 28,0,2019-09-25
"Пленки для ламинирования/ламинации документов, сертификатов, большого формата А3, антистатический эффект, комплект 100 шт, 125 мкм, Brauberg",https://www.ozon.ru/product/161317133,Самсон,Brauberg,Электроника,Пленка для ламинирования,,8309,155,3,2770,2524,100,0,14 из 28,49 ч,213,0,0,FBO,3.4,1146,681,33,0.26,0.73,9.09,9.5,39.1,18 из 28,0 из 28,0,2019-10-20
"Пленка для ламинирования а3, ГЕЛЕОС, 200 мкм, 100 шт, матовая",https://www.ozon.ru/product/161824841,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,5799,Нет данных,1,5799,5799,100,0,28 из 28,60 ч,147,0,1,FBO,5.7,326,184,18,0.31,0,11.11,35.6,100,28 из 28,0 из 28,0,2019-11-07
"Пленка для ламинирования а3, ГЕЛЕОС, 100 мкм, 100 шт, матовая",https://www.ozon.ru/product/161824844,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,31500,80,9,3500,3500,100,0,16 из 28,42 ч,692,0,30,"FBO,FBS",3.3,1142,279,55,0.79,0.71,14.54,0,0,4 из 28,0 из 28,0,2019-11-07
"Пленка для ламинирования а3, ГЕЛЕОС, 80 мкм, 100 шт, матовая",https://www.ozon.ru/product/161824932,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,3150,-75,1,3150,3150,Нет данных,0,11 из 28,28 ч,90,0,2,FBS,2.3,682,304,39,0.15,0.65,2.56,0,0,4 из 28,0 из 28,0,2019-11-07
"Пленка для ламинирования а3, ГЕЛЕОС, 60 мкм, 100 шт, матовая",https://www.ozon.ru/product/161825467,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,44650,219,19,2350,2350,100,0,24 из 28,55 ч,1036,1,4,"FBO,FBS",1.8,1761,622,86,1.08,0.96,20.93,0,0,4 из 28,0 из 28,0,2019-11-07
"Пленка для ламинирования А4 ГЕЛЕОС, матовая, 125 мкм, 100 шт",https://www.ozon.ru/product/161825468,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,24545,21,11,2231,2045,100,0,21 из 28,62 ч,587,0,18,"FBO,FBS",4,1695,693,79,0.65,0.28,13.92,9.1,8.3,4 из 28,0 из 28,0,2019-11-07
"Пленка для ламинирования А4 ГЕЛЕОС, матовая, 250 мкм, 100 шт.",https://www.ozon.ru/product/161825470,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,3574,-67,1,3574,3574,Нет данных,0,28 из 28,75 ч,87,0,23,FBS,5.9,1227,441,33,0.08,0.22,9.09,22.3,100,28 из 28,0 из 28,0,2019-11-07
"Пленка для ламинирования А4 ГЕЛЕОС, матовая, 75 мкм, 100 шт.",https://www.ozon.ru/product/161825471,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,5097,-23,3,1699,1699,100,0,28 из 28,45 ч,133,0,2,"FBO,FBS",2.4,1545,525,72,0.19,0.38,6.94,0,0,4 из 28,0 из 28,0,2019-11-07
Пленка для ламинирования глянцевая А3 100 штук 125 мкм,https://www.ozon.ru/product/161842250,Самсон,Brauberg,Электроника,Пленка для ламинирования,Super,32396,-3,11,2945,2832,100,0,23 из 28,52 ч,879,0,17,FBO,3.4,4746,3608,64,0.23,0.36,9.37,7.3,80.7,11 из 28,0 из 28,0.7,2019-11-07
"Пленка для ламинирования а3, ГЕЛЕОС, 75 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/163027552,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,24382,9,20,1219,1136,100,0,12 из 28,35 ч,617,1,22,FBO,2.7,3466,1230,255,0.58,0.73,7.45,3.8,64.1,18 из 28,0 из 28,0,2019-11-29
"Пленка для ламинирования А4 ГЕЛЕОС, (216х303 мм), 75 мкм, 100 шт",https://www.ozon.ru/product/163027571,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,309840,39,475,652,599,98.7,0,12 из 28,34 ч,7927,17,33,FBO,1.1,57896,22111,2175,0.82,1.11,14.94,9.2,11.6,5 из 28,0 из 28,3.4,2019-11-29
"Пленка для ламинирования глянцевая WF, 100 мкм, А4 (216мм х 303мм), 100шт",https://www.ozon.ru/product/164266741,РеалИСТ,WF,Электроника,Пленка для ламинирования,,5172,-80,6,862,862,100,0,28 из 28,80 ч,214,0,14,"FBO,FBS",3.3,2119,1019,74,0.28,0.58,14.86,0,0,1 из 28,0 из 28,0,2019-12-12
"Пленка для ламинирования глянцевая WF, 60 мкм, А4 (216мм х 303мм), 100шт",https://www.ozon.ru/product/164860882,РеалИСТ,WF,Электроника,Пленка для ламинирования,,14023,-85,26,539,441,100,0,26 из 28,73 ч,415,1,64,"FBO,FBS",1.1,5285,1738,162,0.49,0.69,14.19,23.2,12.6,2 из 28,0 из 28,0,2019-12-18
"Пленка для ламинирования глянцевая WF, 75 мкм, А4 (216мм х 303мм), 100шт",https://www.ozon.ru/product/164860883,РеалИСТ,WF,Электроника,Пленка для ламинирования,,4262,-18,6,710,661,83.3,0,19 из 28,44 ч,81,0,250,"FBO,FBS",2.7,1187,650,55,0.51,0.15,9.09,0,0,1 из 28,0 из 28,0,2019-12-18
"Пленка для ламинирования глянцевая WF, 80 мкм, А4 (216мм х 303мм), 100шт",https://www.ozon.ru/product/164860884,РеалИСТ,WF,Электроника,Пленка для ламинирования,,3059,-55,4,765,683,75,0,22 из 28,75 ч,79,0,252,"FBO,FBS",1.4,1376,753,62,0.29,0.39,11.29,9.9,77.7,23 из 28,0 из 28,0,2019-12-18
"Пленка для ламинирования глянцевая WF, 125 мкм, А4 (216мм х 303мм), 100шт",https://www.ozon.ru/product/164860885,РеалИСТ,WF,Электроника,Пленка для ламинирования,,3174,-36,3,1058,1058,Нет данных,0,28 из 28,45 ч,102,0,5,FBO,2,1115,766,41,0.27,0.39,4.87,9.6,100,28 из 28,0 из 28,0,2019-12-18
Пленка для ламинирования А4 100 мкм 100 шт Revcol,https://www.ozon.ru/product/168211733,Ревкол,Revcol,Электроника,Пленка для ламинирования,Super; Лидер по продажам,211982,-23,165,1285,935,83.4,0,21 из 28,42 ч,4479,5,62,FBO,2.2,83411,23284,1890,0.2,0.26,9.36,8.8,4.4,4 из 28,20 из 28,24.8,2020-02-16
Пленка для ламинирования А4 60 мкм 100 шт Revcol,https://www.ozon.ru/product/168214729,Ревкол,Revcol,Электроника,Пленка для ламинирования,Super,227529,50,313,727,633,89.3,0,24 из 28,42 ч,4566,10,4,FBO,2.3,159284,36647,2655,0.2,0.82,12.61,13,0.6,4 из 28,21 из 28,49.1,2020-02-16
Пленка для ламинирования а4 80 мкм 100 шт Revcol,https://www.ozon.ru/product/168214745,Ревкол,Revcol,Электроника,Пленка для ламинирования,,439514,-10,493,892,735,93.1,0,22 из 28,43 ч,9643,17,108,FBO,1,302789,49945,3948,0.16,0.64,14.1,17.3,0.3,4 из 28,25 из 28,39.4,2020-02-16
Пленка для ламинирования А5 80 мкм 100 шт REVCOL,https://www.ozon.ru/product/168284598,Ревкол,Revcol,Электроника,Пленка для ламинирования,,12954,-58,22,589,453,95.4,0,9 из 28,32 ч,318,1,24,FBO,0.7,6024,896,81,0.37,1.11,18.51,18.3,7.5,3 из 28,0 из 28,0,2020-02-17
Пленка для ламинирования А5 60 мкм 100 шт REVCOL,https://www.ozon.ru/product/168284599,Ревкол,Revcol,Электроника,Пленка для ламинирования,,5167,-69,11,470,336,100,0,12 из 28,32 ч,103,0,3,FBO,0.7,3245,846,69,0.34,0.82,11.59,16.3,23.8,6 из 28,0 из 28,0,2020-02-17
Пленка для ламинирования А6 100 мкм 100 шт REVCOL,https://www.ozon.ru/product/168284601,Ревкол,Revcol,Электроника,Пленка для ламинирования,Топ-50% по продажам,37176,2,87,427,373,93.1,0,22 из 28,41 ч,748,3,43,FBO,0.4,9885,1463,256,0.88,2.8,14.45,13.1,2,2 из 28,0 из 28,0,2020-02-17
Пленка для ламинирования А6 80 мкм 100 шт Revcol,https://www.ozon.ru/product/168284603,Ревкол,Revcol,Электроника,Пленка для ламинирования,,11887,32,31,383,330,96.7,0,17 из 28,39 ч,264,1,15,FBO,0.4,4611,848,132,0.67,1.06,9.84,13.1,5.7,2 из 28,0 из 28,0,2020-02-17
Пленка для ламинирования А3 80 мкм 100 шт REVCOL,https://www.ozon.ru/product/168666722,Ревкол,Revcol,Электроника,Пленка для ламинирования,,4939,-89,3,1646,1280,100,0,15 из 28,28 ч,119,0,10,FBO,2.7,2262,569,17,0.13,0.17,11.76,25.2,59.5,2 из 28,0 из 28,0,2020-02-22
"Пленка для ламинирования А4 ГЕЛЕОС, матовая, 150 мкм, 100 шт.",https://www.ozon.ru/product/168847125,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,5100,-33,2,2550,2550,100,0,19 из 28,0 ч,193,0,3,"FBO,FBS",2.3,919,392,56,0.22,0,8.92,0,0,4 из 28,0 из 28,0,2020-02-26
"Пленка для ламинирования А4 ГЕЛЕОС, матовая, 100 мкм, 100 шт.",https://www.ozon.ru/product/168847126,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,34009,103,18,1889,1726,100,0,24 из 28,51 ч,693,1,3,"FBO,FBS",3.1,3695,1297,193,0.49,1.07,13.98,9.1,5.1,4 из 28,0 из 28,0,2020-02-26
"Пленка для ламинирования А4 ГЕЛЕОС, матовая, 80 мкм, 100 шт.",https://www.ozon.ru/product/168847127,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,12265,70,7,1752,1635,100,0,23 из 28,43 ч,364,0,2,"FBO,FBS",2.4,1635,701,89,0.43,0.28,6.74,9.1,26.7,4 из 28,0 из 28,0,2020-02-26
"Пленка для ламинирования а3, ГЕЛЕОС, 75 мкм, 100 шт, матовая",https://www.ozon.ru/product/168847128,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,13347,-2,5,2669,2471,100,0,28 из 28,68 ч,427,0,5,"FBO,FBS",2.2,1341,536,78,0.37,0.93,8.97,9.1,18.5,4 из 28,0 из 28,0,2020-02-26
"Пленка для ламинирования А4 ГЕЛЕОС, матовая, 60 мкм, 100 шт.",https://www.ozon.ru/product/168847130,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,23839,-41,15,1589,1453,93.3,0,16 из 28,39 ч,662,1,9,"FBO,FBS",1.8,4264,1383,196,0.35,1.01,9.69,9.1,6.1,4 из 28,0 из 28,0,2020-02-26
"Пакетная пленка для ламинирования, матовая, 80мкм, А4 (216х303)",https://www.ozon.ru/product/170847505,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,,6011,180,3,2004,1933,100,0,28 из 28,85 ч,164,0,0,FBS,1.2,765,408,51,0.39,0.49,5.88,9.9,64.3,23 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 100мкм, А4 (216х303)",https://www.ozon.ru/product/170847572,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,,16080,-23,8,2010,2010,100,0,28 из 28,60 ч,414,0,8,FBO,1.4,1648,807,89,0.49,0.37,7.86,9.5,75,22 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 125мкм, А4 (216х303)",https://www.ozon.ru/product/170859142,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,,2519,0,1,2519,2519,100,0,28 из 28,150 ч,69,0,15,FBO,1.9,768,497,49,0.13,0.2,10.2,9.8,100,25 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 60 мкм, А3 (303х426)",https://www.ozon.ru/product/170866547,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,Super,25905,337,9,2878,2721,100,0,19 из 28,49 ч,657,0,3,FBO,2,760,379,46,1.18,0,10.86,10.4,100,25 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 150мкм, А4 (216х303)",https://www.ozon.ru/product/170866548,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,24360,Нет данных,7,3480,3448,100,0,14 из 28,37 ч,700,0,0,FBS,2.1,574,366,19,1.22,0.27,15.78,14.2,100,28 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 75 мкм, А3 (303х426)",https://www.ozon.ru/product/170866776,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,Super,18838,-83,6,3140,2978,100,0,21 из 28,74 ч,980,0,0,"FBO,FBS",2.2,1121,537,65,0.54,0,15.38,10.7,100,28 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 80 мкм, А3 (303х426)",https://www.ozon.ru/product/170866914,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,,7492,-33,2,3746,3746,100,0,28 из 28,60 ч,196,0,4,FBO,2.4,482,289,30,0.42,0.34,6.66,9.1,100,25 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 100мкм, А3 (303х426)",https://www.ozon.ru/product/170866915,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,,16303,-22,4,4076,3853,100,0,28 из 28,57 ч,442,0,4,FBO,3.3,686,311,32,0.58,0,15.62,9.8,76.4,25 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 60мкм, А4 (216х303)",https://www.ozon.ru/product/170872126,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,Super,19369,-27,13,1490,1445,100,0,23 из 28,37 ч,587,1,9,FBO,1,2407,1111,103,0.54,0.45,10.67,13.1,100,28 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 150 мкм, А3 (303х426)",https://www.ozon.ru/product/170872127,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,,7419,Нет данных,1,7419,7419,100,0,28 из 28,90 ч,201,0,21,FBS,4.2,180,112,15,0.56,0.89,6.66,9.1,100,21 из 28,0 из 28,0,2020-03-26
"Пакетная пленка для ламинирования, матовая, 75мкм, А4 (216х303)",https://www.ozon.ru/product/170872205,РеалИСТ,Royal Sovereing Co.,Электроника,Пленка для ламинирования,,3441,Нет данных,2,1721,1663,100,0,28 из 28,128 ч,91,0,22,FBO,1.1,820,424,54,0.24,0.23,5.55,9.8,51.7,23 из 28,0 из 28,0,2020-03-26
"Пленка для ламинирования А5, ГЕЛЕОС, 150 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498411,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,38885,44,56,694,635,98.1,0,21 из 28,63 ч,574,1,1,FBO,1,4343,1873,215,1.29,1.12,13.48,13,34.3,4 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования А5, ГЕЛЕОС, 60 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498583,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,22990,18,57,403,372,96.3,0,15 из 28,35 ч,504,2,1,FBO,0.4,10588,4881,401,0.54,1.39,9.47,9.3,16.2,4 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования а3, ГЕЛЕОС, 125 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498602,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,29929,-67,17,1761,1681,94.1,0,23 из 28,56 ч,817,1,3,FBO,4,3162,1200,180,0.54,1.41,11.11,9.1,50.6,4 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования а3, ГЕЛЕОС, 250 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498610,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,20904,-14,6,3484,3484,83.3,0,17 из 28,42 ч,511,0,1,FBO,6.7,1243,685,60,0.48,0.29,3.33,16,100,28 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования А5, ГЕЛЕОС, 75мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498621,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,5359,-20,12,447,409,100,0,13 из 28,51 ч,120,0,18,FBO,0.5,4476,2239,187,0.27,0.62,4.81,9.1,7.6,4 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования А5, ГЕЛЕОС, 80 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498637,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,15295,1,33,463,427,87.8,0,21 из 28,57 ч,306,1,18,FBO,0.6,6492,2630,280,0.51,1.06,10,9.1,14,4 из 28,0 из 28,0,2020-04-11
