Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
Плёнка для ламинирования 80 мкм с текстурой Искры размер А4 - 10шт,https://www.ozon.ru/product/1322356228,БроняMobiCare,MobiCareSkin,Электроника,Пленка для ламинирования,Super,28545,75,33,865,497,54.5,9642,27 из 28,62 ч,877,1,1,"FBO,FBS",2.8,8662,2118,1019,0.38,1.88,8.53,51.5,17.4,6 из 28,0 из 28,0,2023-12-04
"deVente, Пленка для ламинирования А4, 100 мкм, 100 листов",https://www.ozon.ru/product/302166180,Товары в каждый дом,deVENTE,Электроника,Пленка для ламинирования,,1380,-98,2,690,690,100,8095,28 из 28,105 ч,324,1,0,FBO,1.4,7088,267,57,0.03,0.74,5.26,23.3,100,13 из 28,0 из 28,0,2021-08-12
"Пленка глянцевая, листы для ламинирования A6, 111x154 мм толщина 100 мкм, 100 л",https://www.ozon.ru/product/1247260635,deVENTE,deVENTE,Электроника,Пленка для ламинирования,,2655,-72,10,266,264,88.8,7355,27 из 28,57 ч,334,2,0,FBO,0.2,2810,523,138,0.36,2.86,4.34,0.8,39.8,4 из 28,0 из 28,0,2023-10-17
"Пленка глянцевая, листы для ламинирования A3 303x426 мм, толщина 60 мкм, 100 л",https://www.ozon.ru/product/1271137932,deVENTE,deVENTE,Электроника,Пленка для ламинирования,,3900,-93,3,1300,1100,66.6,6529,25 из 28,28 ч,311,0,0,FBO,6.3,1359,165,108,0.22,0.6,1.85,0,0,0 из 28,0 из 28,12.9,2023-11-02
"Пленка для ламинирования А6 100 мкм, (111х154), 100 шт",https://www.ozon.ru/product/223291530,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,370,-87,1,370,370,100,6448,28 из 28,75 ч,239,1,0,FBO,0.9,1100,31,7,0.09,0,28.57,0,0,0 из 28,0 из 28,0,2021-01-17
Пленка для ламинирования А3 100 мкм 100 шт,https://www.ozon.ru/product/2294087899,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super; Лидер по продажам,136888,111,88,1556,1462,98.8,6418,27 из 28,57 ч,3209,3,59,FBO,5.5,16200,12447,426,0.54,0.72,18.77,22.2,100,26 из 28,0 из 28,3.1,2025-06-14
Пленка для холодного ламинирования Сахар А4 20шт,https://www.ozon.ru/product/1620561336,ToryHome,без бренда,Электроника,Пленка для ламинирования,,8400,Нет данных,4,2100,2100,50,6284,28 из 28,100 ч,393,0,0,FBS,0.7,1544,429,390,0.26,0.46,5.38,0,0,1 из 28,0 из 28,0,2024-07-04
Пленка для ламинирования А4 80 мкм 100 шт,https://www.ozon.ru/product/2293464607,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,,233600,338,320,730,700,96.4,5235,26 из 28,51 ч,5235,12,361,FBO,2.3,44560,31648,1502,0.72,0.91,15.11,0,0,0 из 28,0 из 28,5.1,2025-06-14
Пленка для ламинирования А5 100 мкм 100 шт Revcol,https://www.ozon.ru/product/168634738,Ревкол,Revcol,Электроника,Пленка для ламинирования,,6922,-73,10,692,558,100,5146,27 из 28,130 ч,303,1,17,FBO,0.7,1422,205,32,0.7,0.97,12.5,6.8,49.3,2 из 28,0 из 28,0,2020-02-21
"6,7см х 9,9см, 75 мкм, (А7, 67мм х 99мм) Пленка для горячего ламинирования, глянцевая",https://www.ozon.ru/product/880691932,Салют,без бренда,Электроника,Пленка для ламинирования,,275,-86,1,275,275,100,5065,28 из 28,45 ч,188,1,0,FBO,0.1,293,106,16,0.34,1.88,12.5,0,0,0 из 28,0 из 28,0,2023-03-02
"Пленка глянцевая, листы для ламинирования A6 111x154 мм, толщина 125 мкм, 100 л",https://www.ozon.ru/product/1271282588,deVENTE,deVENTE,Электроника,Пленка для ламинирования,,11692,-22,36,325,297,63.8,4967,26 из 28,49 ч,331,1,7,FBO,0.4,4055,896,356,0.89,0.89,5.33,5.4,51.8,7 из 28,0 из 28,7.8,2023-11-02
Пленка для холодного ламинирования Сахар А4 50шт,https://www.ozon.ru/product/1620544855,ToryHome,без бренда,Электроника,Пленка для ламинирования,,5160,Нет данных,1,5160,5160,100,4961,28 из 28,60 ч,310,0,0,FBS,0.7,1258,481,281,0.08,0.2,2.84,0,0,6 из 28,0 из 28,0,2024-07-04
"Пленка для ламинирования А6 80 мкм, ГЕЛЕОС, (111х154), 100 шт",https://www.ozon.ru/product/223291453,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,12440,-53,36,346,318,88.8,4819,26 из 28,63 ч,482,2,0,FBO,0.4,5124,2106,259,0.7,1.28,13.12,9.1,12.8,4 из 28,0 из 28,0,2021-01-17
